Time_point,Block,Plot,Block_Plot,Herb_TRT,Nutrient_Trt,Disturbance_Trt,Acanthastrea_spp,Acropora_spp,CCA,Fungiid,Montipora_spp,Pavona,Phymastraea,Pocillopora_spp,Porites_spp,Rubble,Turf_Bare_Encrusting_Algae,Unknown_encrusting_coral,Sand,Asparagopsis,Millepora,Foliose_Lobophora,Acanthophora,Caulerpa_spp.,Microdictyon,Cyanobacteria,Halimeda_spp,Pachyseris,Sponge,Hypnea,Jania_spp,Long_turf,Dictyota_spp.,Colpomenia,Padina,Unknown_macroalgae,Gibsmithia,Sargassum,Turbinaria,Tridacna,Leptoseris,Lobophyla,Leptastrea,Psammocora,Valonia_spp.,Galaxaura_spp.,Grateloupia,Amphiroa_spp,Gelidiella_spp.,Chlorodesmis,Soft_coral,Phyllodictyon,Anemone,Spatoglossum,Amansia,Hydroclathrus,Cladophoropsis
0,A,1,A1,1X1,Ambient,Intact,0.4608294930875576,6.451612903225806,4.6082949308755765,0.4608294930875576,16.129032258064516,1.3824884792626728,0.9216589861751152,26.72811059907834,1.8433179723502304,3.686635944700461,34.10138248847927,3.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A,1,A1,2X2,Ambient,Intact,0,4.477611940298507,3.9800995024875623,0.4975124378109453,16.417910447761194,2.9850746268656714,2.9850746268656714,32.33830845771145,0.9950248756218906,3.9800995024875623,28.855721393034827,2.4875621890547266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A,1,A1,3X3,Ambient,Intact,0,6.046511627906977,1.8604651162790697,0.9302325581395349,15.348837209302326,3.255813953488372,0.46511627906976744,27.906976744186046,3.255813953488372,6.511627906976744,33.48837209302326,0.9302325581395349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A,1,A1,Open,Ambient,Intact,0,2.898550724637681,1.4492753623188406,0,11.11111111111111,1.4492753623188406,0.4830917874396135,31.88405797101449,5.797101449275362,4.830917874396135,38.64734299516908,1.4492753623188406,0.966183574879227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A,2,A2,1X1,Enriched,Intact,0,2.6881720430107525,12.903225806451612,0,10.21505376344086,1.6129032258064515,0.5376344086021506,26.881720430107524,3.763440860215054,2.6881720430107525,29.03225806451613,1.0752688172043012,1.6129032258064515,8.064516129032258,0.5376344086021506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A,2,A2,2X2,Enriched,Intact,0.4878048780487805,0.4878048780487805,6.341463414634147,0,15.121951219512194,1.951219512195122,0.4878048780487805,36.58536585365854,0.975609756097561,0.975609756097561,34.146341463414636,1.951219512195122,0,0,0,0.4878048780487805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A,2,A2,3X3,Enriched,Intact,0,2.4630541871921183,1.477832512315271,0,20.19704433497537,2.955665024630542,0,31.527093596059114,2.955665024630542,0.9852216748768473,37.4384236453202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A,2,A2,Open,Enriched,Intact,0,2.5380710659898478,4.568527918781726,0,12.690355329949238,2.030456852791878,1.5228426395939088,33.50253807106599,2.030456852791878,4.060913705583756,35.53299492385787,1.015228426395939,0.5076142131979695,0,0,0.5076142131979695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A,3,A3,1X1,Enriched,Disturbed,0,0,14.761904761904763,0,9.523809523809524,0,0,0,0,6.190476190476191,69.52380952380952,0,0.9523809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A,3,A3,2X2,Enriched,Disturbed,0,0,19.704433497536947,0,4.433497536945813,0,0.49261083743842365,0,0,9.35960591133005,65.51724137931035,0,0.9852216748768473,0,0,0.49261083743842365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
