Block,Plot,Block_Plot,Herb_TRT,Nutrient_Trt,Disturbance_Trt,0,1,2,3,4,6,8,9,10,11,12,13,14,Change_Montip12
A,1,A1,1X1,Ambient,Intact,16.129032258064516,15.544041450777202,17.1875,8.144796380090497,6.321839080459771,6.666666666666667,11.41304347826087,9.95260663507109,6.030150753768844,6.629834254143646,7.142857142857142,5.0228310502283104,4.411764705882353,-8.986175115207374
A,1,A1,2X2,Ambient,Intact,16.417910447761194,16.923076923076923,19.791666666666664,5.913978494623656,4.49438202247191,0.9950248756218906,3.9800995024875623,2.380952380952381,2.0408163265306123,1.1235955056179776,1.6574585635359116,0.5076142131979695,0.48543689320388345,-14.760451884225283
A,1,A1,3X3,Ambient,Intact,15.348837209302326,0,14.423076923076922,1.4354066985645932,1.0582010582010581,1.4285714285714286,1.0416666666666665,0.5050505050505051,0,0,0,0.45871559633027525,0,-15.348837209302326
A,1,A1,Open,Ambient,Intact,11.11111111111111,11.176470588235295,13.19796954314721,4.968944099378882,0.8620689655172413,1.5,1.1111111111111112,3.592814371257485,1.183431952662722,1.7241379310344827,1.183431952662722,1.3953488372093024,0.9852216748768473,-9.927679158448388
A,2,A2,1X1,Enriched,Intact,10.21505376344086,11.282051282051283,16.95906432748538,6.701030927835052,4.27807486631016,2.4242424242424243,2.631578947368421,4.2682926829268295,4.705882352941177,5.913978494623656,3.0303030303030303,3.7914691943127963,1.3824884792626728,-7.18475073313783
A,2,A2,2X2,Enriched,Intact,15.121951219512194,13.095238095238097,0,5.7894736842105265,4.972375690607735,4.060913705583756,3.7037037037037033,2.631578947368421,3.684210526315789,2.072538860103627,0,0.9389671361502347,0,-15.121951219512194
A,2,A2,3X3,Enriched,Intact,20.19704433497537,18.316831683168317,17.11229946524064,9.289617486338798,8.64864864864865,6.145251396648044,1.694915254237288,2.9850746268656714,1.5384615384615385,3.3333333333333335,3.296703296703297,3.1963470319634704,0.46511627906976744,-16.900341038272074
A,2,A2,Open,Enriched,Intact,12.690355329949238,16.417910447761194,15.591397849462366,7.8125,5.729166666666666,3.6458333333333335,3.7037037037037033,1.6483516483516485,1.1560693641618496,1.6483516483516485,2.247191011235955,1.4354066985645932,1.3636363636363635,-10.443164318713283
A,3,A3,1X1,Enriched,Disturbed,9.523809523809524,26.288659793814436,34.87179487179487,7.389162561576355,6.122448979591836,14.572864321608039,19.892473118279568,18.90547263681592,19.54022988505747,20.786516853932586,18.556701030927837,20.737327188940093,21.363636363636363,9.032891507118313
A,3,A3,2X2,Enriched,Disturbed,4.433497536945813,8.19672131147541,13.88888888888889,7.425742574257425,7.100591715976331,10.05586592178771,11.049723756906078,12.365591397849462,15,16.94915254237288,16.666666666666664,17.272727272727273,17.209302325581397,12.233169129720851
